trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
132,False,"{'a': 0.002, 'e': 0.7679735396567061}",20,0,-69.07491369976748,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
133,False,"{'a': 0.002, 'e': 0.7664391275010192}",25,1,-25.573062288769986,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 0}",1
134,False,"{'a': 0.002, 'e': 0.764907781102864}",20,0,-50.78680601192278,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
135,False,"{'a': 0.002, 'e': 0.7633794943368531}",20,12,2.8425077956802918,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.002, 'e': 0.7618542610898376}",25,0,-63.875737816750345,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
137,False,"{'a': 0.002, 'e': 0.7603320752608821}",35,0,-127.0719886030785,"{0: 22, 1: 5, 2: 5, 3: 2, 4: 1}",0
138,False,"{'a': 0.002, 'e': 0.7588129307612413}",20,0,-26.015842295971005,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
139,False,"{'a': 0.002, 'e': 0.7572968215143355}",25,10,-41.14562070422586,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
140,False,"{'a': 0.002, 'e': 0.7557837414557255}",30,0,-161.21561935345457,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
141,False,"{'a': 0.002, 'e': 0.754273684533089}",25,16,-18.98828352761703,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
142,False,"{'a': 0.002, 'e': 0.7527666447061963}",20,0,-59.828318490021346,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
143,False,"{'a': 0.002, 'e': 0.751262615946886}",20,0,-128.61398623040733,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
144,False,"{'a': 0.002, 'e': 0.7497615922390413}",20,0,-31.425983365637233,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
145,False,"{'a': 0.002, 'e': 0.7482635675785653}",25,16,-5.0102420197572055,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.002, 'e': 0.7467685359733571}",20,0,-57.681821162346736,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
147,False,"{'a': 0.002, 'e': 0.7452764914432887}",25,0,-57.534756912638116,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
148,False,"{'a': 0.002, 'e': 0.7437874280201796}",35,0,-97.8271551200355,"{0: 22, 1: 1, 2: 11, 3: 1, 4: 0}",0
149,False,"{'a': 0.002, 'e': 0.7423013397477743}",20,0,-88.83105758262853,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
150,False,"{'a': 0.002, 'e': 0.7408182206817179}",25,7,-129.71097325813895,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 3}",1
151,False,"{'a': 0.002, 'e': 0.7393380648895319}",30,7,-97.65572338511195,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 1}",1
152,False,"{'a': 0.002, 'e': 0.7378608664505911}",25,0,-158.48989095783475,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
153,False,"{'a': 0.002, 'e': 0.7363866194561001}",25,2,-131.9970949071657,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 2}",1
154,False,"{'a': 0.002, 'e': 0.7349153180090687}",20,10,-54.44685912251534,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 1}",1
155,False,"{'a': 0.002, 'e': 0.7334469562242892}",25,0,-139.3882714612047,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
156,False,"{'a': 0.002, 'e': 0.7319815282283126}",20,11,-9.374404608699768,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.002, 'e': 0.7305190281594249}",25,14,4.069993677156294,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.002, 'e': 0.7290594501676237}",20,10,5.6670843433884475,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.002, 'e': 0.7276027884145955}",20,0,-177.03587206735796,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
160,False,"{'a': 0.002, 'e': 0.7261490370736909}",30,14,-7.013567263084759,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
161,False,"{'a': 0.002, 'e': 0.7246981903299029}",20,0,-41.311303376052145,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
162,False,"{'a': 0.002, 'e': 0.7232502423798424}",25,0,-111.69364431285528,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
163,False,"{'a': 0.002, 'e': 0.7218051874317158}",20,0,-80.87748434412444,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
164,False,"{'a': 0.002, 'e': 0.7203630197053014}",25,6,-22.73727279758708,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 0}",1
165,False,"{'a': 0.002, 'e': 0.7189237334319262}",20,1,-72.15201551013845,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 1}",1
166,False,"{'a': 0.002, 'e': 0.7174873228544433}",25,0,-50.9566690108349,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
167,False,"{'a': 0.002, 'e': 0.7160537822272085}",30,0,-111.98338074508123,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
168,False,"{'a': 0.002, 'e': 0.7146231058160573}",25,0,-33.836384175064985,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",1
169,False,"{'a': 0.002, 'e': 0.7131952878982822}",25,18,-20.443645944442697,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
170,False,"{'a': 0.002, 'e': 0.7117703227626097}",20,0,-59.51419574468559,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
171,False,"{'a': 0.002, 'e': 0.7103482047091773}",20,0,-180.81407461231055,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
172,False,"{'a': 0.002, 'e': 0.7089289280495107}",25,10,-20.555048363951226,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 0}",1
173,False,"{'a': 0.002, 'e': 0.7075124871065017}",25,0,-177.6190591848294,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
174,False,"{'a': 0.002, 'e': 0.7060988762143844}",20,0,-118.79310480750789,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
175,False,"{'a': 0.002, 'e': 0.7046880897187134}",25,0,-48.20273503677344,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
176,False,"{'a': 0.002, 'e': 0.7032801219763409}",30,0,-192.96020734815673,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
177,False,"{'a': 0.002, 'e': 0.701874967355394}",20,0,-99.28932762913198,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
178,False,"{'a': 0.002, 'e': 0.7004726202352524}",20,0,-167.94899501998552,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
179,False,"{'a': 0.002, 'e': 0.6990730750065257}",25,17,14.475236575984557,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.002, 'e': 0.697676326071031}",20,0,-122.32003533833439,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
181,False,"{'a': 0.002, 'e': 0.696282367841771}",30,0,-33.03627181637617,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
182,False,"{'a': 0.002, 'e': 0.6948911947429106}",30,0,-79.37518070882433,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
