trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
112,False,"{'a': 0.002, 'e': 0.9750167259968777}",25,0,-94.86364648167084,"{0: 15, 1: 4, 2: 3, 3: 3, 4: 0}",0
113,False,"{'a': 0.002, 'e': 0.974570513346983}",20,0,-205.32537875771072,"{0: 9, 1: 3, 2: 2, 3: 3, 4: 3}",0
114,False,"{'a': 0.002, 'e': 0.9741204024163344}",20,0,-55.74986184404974,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
115,False,"{'a': 0.002, 'e': 0.9736663950053749}",20,4,-34.74601121535672,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
116,False,"{'a': 0.002, 'e': 0.9732084929301336}",20,0,-166.13759280305703,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
117,False,"{'a': 0.002, 'e': 0.9727466980222181}",20,0,-127.03529395088765,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
118,False,"{'a': 0.002, 'e': 0.9722810121288076}",25,0,-100.51897122744046,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
119,False,"{'a': 0.002, 'e': 0.971811437112645}",20,0,-85.66278488492334,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
120,False,"{'a': 0.002, 'e': 0.9713379748520296}",25,0,-46.85515092216527,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",1
121,False,"{'a': 0.002, 'e': 0.97086062724081}",20,0,-83.05930170002644,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
122,False,"{'a': 0.002, 'e': 0.9703793961883759}",30,0,-237.05461009931926,"{0: 15, 1: 3, 2: 6, 3: 3, 4: 3}",0
123,False,"{'a': 0.002, 'e': 0.9698942836196508}",20,0,-128.9373109086849,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
124,False,"{'a': 0.002, 'e': 0.9694052914750845}",30,0,-150.20689089527227,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0
125,False,"{'a': 0.002, 'e': 0.9689124217106447}",20,0,-156.07157779693995,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
126,False,"{'a': 0.002, 'e': 0.9684156762978101}",25,0,-80.76401487186958,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
127,False,"{'a': 0.002, 'e': 0.9679150572235615}",20,0,-71.95271652603228,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
128,False,"{'a': 0.002, 'e': 0.9674105664903746}",30,0,-86.43308875729021,"{0: 22, 1: 3, 2: 2, 3: 2, 4: 1}",0
129,False,"{'a': 0.002, 'e': 0.9669022061162116}",25,0,-101.57518329840912,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
130,False,"{'a': 0.002, 'e': 0.9663899781345132}",25,0,-113.53321804989396,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
131,False,"{'a': 0.002, 'e': 0.9658738845941909}",20,0,-26.8628609540335,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
132,False,"{'a': 0.002, 'e': 0.965353927559618}",30,0,-132.63415284971222,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
133,False,"{'a': 0.002, 'e': 0.9648301091106221}",30,0,-127.44724181736831,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
134,False,"{'a': 0.002, 'e': 0.9643024313424761}",20,0,-177.42511838968855,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
135,False,"{'a': 0.002, 'e': 0.9637708963658905}",20,13,-0.9465856797891303,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.002, 'e': 0.9632355063070045}",20,0,-15.11811025091625,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
137,False,"{'a': 0.002, 'e': 0.9626962633073776}",25,0,-42.541370822843405,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
138,False,"{'a': 0.002, 'e': 0.9621531695239809}",30,0,-59.61709704029119,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
139,False,"{'a': 0.002, 'e': 0.9616062271291891}",25,6,-87.79858410208274,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 1}",1
140,False,"{'a': 0.002, 'e': 0.9610554383107709}",30,0,-133.64271735286124,"{0: 17, 1: 8, 2: 3, 3: 0, 4: 2}",0
