trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3015,False,"{'a': 0.002, 'e': 0.002410309780773635}",20,13,15.956894954381486,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3016,False,"{'a': 0.002, 'e': 0.0024054939786195095}",20,5,24.671878205446983,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3017,False,"{'a': 0.002, 'e': 0.002400687798444506}",25,11,25.362415285768613,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3018,False,"{'a': 0.002, 'e': 0.0023958912210238974}",20,2,25.107616470045212,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3019,False,"{'a': 0.002, 'e': 0.002391104227171365}",20,7,26.999203700259823,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3020,False,"{'a': 0.002, 'e': 0.0023863267977389316}",25,20,11.718515862955389,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3021,False,"{'a': 0.002, 'e': 0.0023815589136168707}",25,16,18.330707888106396,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3022,False,"{'a': 0.002, 'e': 0.00237680055573364}",20,7,26.088284063398703,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3023,False,"{'a': 0.002, 'e': 0.002372051705055799}",30,18,22.775195410300633,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3024,False,"{'a': 0.002, 'e': 0.002367312342587943}",20,16,6.554560673570593,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3025,False,"{'a': 0.002, 'e': 0.002362582449372614}",20,15,10.94651321393529,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3026,False,"{'a': 0.002, 'e': 0.002357862006490233}",20,8,20.75630491107073,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3027,False,"{'a': 0.002, 'e': 0.0023531509950590187}",25,0,41.76408430358482,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3028,False,"{'a': 0.002, 'e': 0.002348449396234925}",25,12,21.343240681898394,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3029,False,"{'a': 0.002, 'e': 0.002343757191211547}",20,6,25.257485747665584,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3030,False,"{'a': 0.002, 'e': 0.0023390743612200595}",25,16,12.963713175360017,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
